molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5562345,active,6.769551078621726,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(CC2CC3CCC2C3)C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],599.7270000000004,0.28660000000000446,4.0,9.0
CHEMBL5542649,active,6.795880017344075,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(CC2CC3CCC2C3)C1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,518.6550000000003,1.6219000000000015,3.0,6.0
CHEMBL5559277,active,6.431798275933005,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(CC2CCCCC2)C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],587.7160000000005,0.43070000000000414,4.0,9.0
CHEMBL5561826,active,6.508638306165727,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(CC2CCCCC2)C1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,506.6440000000004,1.766000000000001,3.0,6.0
CHEMBL5563538,active,6.455931955649724,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(Cc2cccc(C(F)(F)F)c2)C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],649.6650000000003,1.0694000000000026,4.0,9.0
CHEMBL5560411,active,6.3872161432802645,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(Cc2cccc(C(F)(F)F)c2)C1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,568.5930000000001,2.4047,3.0,6.0
CHEMBL5562223,active,6.187086643357144,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(Cc2ccccc2)C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],581.6680000000002,0.05060000000000431,4.0,9.0
CHEMBL5561115,active,6.142667503568731,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(Cc2ccccc2)C1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,500.59600000000023,1.3859000000000015,3.0,6.0
CHEMBL5560870,active,6.251811972993799,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(Cc2ccco2)C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],571.6290000000002,-0.35639999999999594,4.0,10.0
CHEMBL5564471,active,6.259637310505756,CC(C)C[C@H](NC(=O)OCC1CC(=O)N(Cc2ccco2)C1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,490.55700000000024,0.978900000000001,3.0,7.0
CHEMBL5219523,active,6.552841968657781,CC(C)C[C@H](NC(=O)OCC1CC2C=CC1C2)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(O)S(=O)(=O)[O-],500.5940000000002,0.21410000000000318,4.0,8.0
CHEMBL5218940,active,6.585026652029182,CC(C)C[C@H](NC(=O)OCC1CC2C=CC1C2)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,419.52200000000016,1.5494000000000003,3.0,5.0
CHEMBL5220472,active,6.585026652029182,CC(C)C[C@H](NC(=O)OCC1CC2C=CCC(C2)C1)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(O)S(=O)(=O)[O-],528.6480000000003,0.9943000000000022,4.0,8.0
